Ingredient_name	GNSP_ID
Chrysophanic acid	"CCMSLIB00000006876"
4-hydroxybenzoic acid	"CCMSLIB00000078846"
Succinate	"CCMSLIB00000084891"
Succinate	"CCMSLIB00000078145"
Succinate	"CCMSLIB00000079111"
Succinate	"CCMSLIB00000004816"
Succinate	"CCMSLIB00000004817"
Succinate	"CCMSLIB00000004818"
Succinate	"CCMSLIB00000004819"
Succinate	"CCMSLIB00000004820"
Succinate	"CCMSLIB00000004821"
hexose	"CCMSLIB00000072120"
Aspartate	"CCMSLIB00000081781"
Glutamine	"CCMSLIB00000081784"
Hexadecenoic acid	"CCMSLIB00000075361"
Octadecenoic acid	"CCMSLIB00000075360"
Cardiolipin	"CCMSLIB00000071736"
Cardiolipin	"CCMSLIB00000071737"
Cardiolipin	"CCMSLIB00000071738"
glutamate	"CCMSLIB00000081783"
caffeic acid phenethyl ester	"CCMSLIB00000085490"
tretinoin	"CCMSLIB00000004323"
tretinoin	"CCMSLIB00000004324"
tretinoin	"CCMSLIB00000004325"
tretinoin	"CCMSLIB00000004326"
tretinoin	"CCMSLIB00000004327"
tretinoin	"CCMSLIB00000004328"
tretinoin	"CCMSLIB00000004329"
tretinoin	"CCMSLIB00000004330"
tretinoin	"CCMSLIB00000004331"
tretinoin	"CCMSLIB00000004332"
tretinoin	"CCMSLIB00000004333"
tretinoin	"CCMSLIB00000004334"
tretinoin	"CCMSLIB00000004335"
tretinoin	"CCMSLIB00000004336"
tretinoin	"CCMSLIB00000004337"
tretinoin	"CCMSLIB00000004338"
tretinoin	"CCMSLIB00000004339"
tretinoin	"CCMSLIB00000004340"
tretinoin	"CCMSLIB00000004341"
tretinoin	"CCMSLIB00000004342"
tretinoin	"CCMSLIB00000004343"
cytochalasin B	"CCMSLIB00000085575"
lovastatin	"CCMSLIB00000077133"
lovastatin	"CCMSLIB00000077134"
lovastatin	"CCMSLIB00000078412"
lovastatin	"CCMSLIB00000078413"
serine	"CCMSLIB00000081779"
gibberellic acid	"CCMSLIB00000081269"
gibberellic acid	"CCMSLIB00000081270"
Arabinose	"CCMSLIB00000081788"
benzoate	"CCMSLIB00000079264"
benzoate	"CCMSLIB00000078198"
benzoate	"CCMSLIB00000005954"
benzoate	"CCMSLIB00000005955"
benzoate	"CCMSLIB00000005956"
benzoate	"CCMSLIB00000005957"
benzoate	"CCMSLIB00000005958"
norethynodrel	"CCMSLIB00000084822"
7-methoxycoumarin	"CCMSLIB00000081746"
fatty acid	"CCMSLIB00000072106"
fatty acid	"CCMSLIB00000072107"
fatty acid	"CCMSLIB00000072108"
fatty acid	"CCMSLIB00000072109"
10-hydroxy-camptothecin	"CCMSLIB00000078822"
trans-p-Hydroxycinnamic acid	"CCMSLIB00000078852"
trans-p-Hydroxycinnamic acid	"CCMSLIB00000078887"
"2,6-Di-tert-butyl-4-methylphenol"	"CCMSLIB00000081568"
ammonium glycyrrhizinate	"CCMSLIB00000078463"
ammonium glycyrrhizinate	"CCMSLIB00000078464"
palmatine chloride	"CCMSLIB00000085966"
acacetin	"CCMSLIB00000077212"
apigenin	"CCMSLIB00000077172"
apigenin	"CCMSLIB00000078869"
artemisin	"CCMSLIB00000078082"
atropine	"CCMSLIB00000077007"
atropine	"CCMSLIB00000078450"
atropine	"CCMSLIB00000078451"
avicularin	"CCMSLIB00000077225"
avicularin	"CCMSLIB00000078871"
baicalein	"CCMSLIB00000077226"
baicalein	"CCMSLIB00000078872"
baicalin	"CCMSLIB00000078856"
baicalin	"CCMSLIB00000078890"
belladonnine	"CCMSLIB00000078800"
biflorin	"CCMSLIB00000081716"
biflorin	"CCMSLIB00000081717"
bilirubin	"CCMSLIB00000072068"
biochanin a	"CCMSLIB00000081279"
biochanin a	"CCMSLIB00000081280"
biochanin a	"CCMSLIB00000081281"
biotin	"CCMSLIB00000078581"
brucine	"CCMSLIB00000079093"
budlein a	"CCMSLIB00000081484"
butein	"CCMSLIB00000081777"
caffeine	"CCMSLIB00000078857"
camptothecin	"CCMSLIB00000005871"
camptothecin	"CCMSLIB00000005872"
camptothecin	"CCMSLIB00000005873"
camptothecin	"CCMSLIB00000005874"
camptothecin	"CCMSLIB00000005875"
camptothecin	"CCMSLIB00000005876"
camptothecin	"CCMSLIB00000005877"
camptothecin	"CCMSLIB00000005878"
camptothecin	"CCMSLIB00000005879"
camptothecin	"CCMSLIB00000078088"
catharanthine	"CCMSLIB00000078607"
cephalomannine	"CCMSLIB00000078465"
cephalomannine	"CCMSLIB00000078466"
cepharanthine	"CCMSLIB00000085715"
cholesterol	"CCMSLIB00000077193"
chrysin	"CCMSLIB00000077227"
chrysin	"CCMSLIB00000078873"
colchicine	"CCMSLIB00000085238"
cortisone	"CCMSLIB00000077194"
coumestrol	"CCMSLIB00000085539"
cryptopine	"CCMSLIB00000078805"
cucurbitacin e	"CCMSLIB00000081267"
cucurbitacin i	"CCMSLIB00000081268"
curcumin	"CCMSLIB00000078313"
curcumin	"CCMSLIB00000078714"
daidzein	"CCMSLIB00000078314"
daidzein	"CCMSLIB00000078858"
daidzein	"CCMSLIB00000078891"
digoxin	"CCMSLIB00000077026"
digoxin	"CCMSLIB00000077027"
dubinidine	"CCMSLIB00000078698"
ellipticine	"CCMSLIB00000085389"
enhydrin	"CCMSLIB00000081682"
enhydrin	"CCMSLIB00000081683"
enhydrin	"CCMSLIB00000081684"
epicatechin	"CCMSLIB00000081479"
epicatechin	"CCMSLIB00000081480"
eremanthin	"CCMSLIB00000081469"
eremanthin	"CCMSLIB00000081470"
erysovine	"CCMSLIB00000081227"
erysovine	"CCMSLIB00000081228"
erythraline	"CCMSLIB00000081229"
erythraline	"CCMSLIB00000081230"
estrone	"CCMSLIB00000078231"
eucalyptin	"CCMSLIB00000081748"
formononetin	"CCMSLIB00000081282"
fructose	"CCMSLIB00000081794"
galangin	"CCMSLIB00000077228"
galangin	"CCMSLIB00000078874"
galanthamine	"CCMSLIB00000079173"
galanthamine	"CCMSLIB00000085961"
genipin	"CCMSLIB00000078468"
genistein	"CCMSLIB00000078106"
genistein	"CCMSLIB00000081284"
genistein	"CCMSLIB00000081285"
genistein	"CCMSLIB00000081286"
ginkgolide a	"CCMSLIB00000078395"
grandisin	"CCMSLIB00000078860"
guanidine	"CCMSLIB00000079069"
guanosine	"CCMSLIB00000085711"
harmaline	"CCMSLIB00000084854"
harmine	"CCMSLIB00000078721"
harringtonine	"CCMSLIB00000079065"
hesperetin	"CCMSLIB00000077230"
hesperetin	"CCMSLIB00000078875"
homoeriodictyol	"CCMSLIB00000077213"
homoeriodictyol	"CCMSLIB00000077214"
homoeriodictyol	"CCMSLIB00000077215"
homoharringtonine	"CCMSLIB00000079065"
honokiol	"CCMSLIB00000078980"
humulone	"CCMSLIB00000078785"
hyoscyamine	"CCMSLIB00000078624"
isoquercitrin	"CCMSLIB00000077231"
isoquercitrin	"CCMSLIB00000078876"
isoquercitrin	"CCMSLIB00000078906"
isovitexin	"CCMSLIB00000081702"
isovitexin	"CCMSLIB00000081703"
isovitexin	"CCMSLIB00000081704"
kaempferol	"CCMSLIB00000077232"
kaempferol	"CCMSLIB00000078877"
khellin	"CCMSLIB00000084893"
kinetin	"CCMSLIB00000081272"
lapachol	"CCMSLIB00000081710"
lapachol	"CCMSLIB00000081711"
alpha-lapachone	"CCMSLIB00000081262"
beta-lapachone	"CCMSLIB00000081246"
licarin a	"CCMSLIB00000081238"
licarin a	"CCMSLIB00000081239"
licarin a	"CCMSLIB00000081240"
licarin a	"CCMSLIB00000081241"
licarin a	"CCMSLIB00000081242"
luteolin	"CCMSLIB00000077233"
luteolin	"CCMSLIB00000078878"
maltose	"CCMSLIB00000081791"
mangiferin	"CCMSLIB00000078863"
mangiferin	"CCMSLIB00000078892"
morin	"CCMSLIB00000077234"
morin	"CCMSLIB00000078879"
naringenin	"CCMSLIB00000077216"
naringenin	"CCMSLIB00000077217"
naringin	"CCMSLIB00000085635"
nobiletin	"CCMSLIB00000078911"
nobiletin	"CCMSLIB00000078912"
orientin	"CCMSLIB00000081770"
orientin	"CCMSLIB00000081771"
perfamine	"CCMSLIB00000078746"
perfamine	"CCMSLIB00000078747"
phytosphingosine	"CCMSLIB00000077198"
piceid	"CCMSLIB00000078975"
picrotin	"CCMSLIB00000085676"
picrotin	"CCMSLIB00000079151"
picrotoxinin	"CCMSLIB00000079151"
piplartine	"CCMSLIB00000078864"
podophyllotoxin	"CCMSLIB00000078798"
porphyrin	"CCMSLIB00000072118"
porphyrin	"CCMSLIB00000072119"
precocene ii	"CCMSLIB00000078724"
pregnenolone	"CCMSLIB00000078343"
progesterone	"CCMSLIB00000005853"
progesterone	"CCMSLIB00000005854"
progesterone	"CCMSLIB00000005855"
