herb_id	herb_pinyin_name	herb_Latin_Name	spectrum_name	herb_origin	herb_origin_pinyin	spectrum_description
7629	AI DI CHA	Ardisiae japonicae	HPLC	贵州	 GUI ZHOU	6.gallic acid;17.bergenin;20.chlorogenic acid;31.quercitrin
7069	BAI GUO	Ginkgo biloba	HPLC	5个不同产地(山东省济南市长清区、临沂市、泰安市、广西省桂林市、江苏省泰兴市）	  SHANDONG PRONVINCE,GUANGXI PROVINCE, JIANGSU PROVINCE	1.bilobalide;2.ginkgolide C;3.ginkgolide A;4.ginkgolide B
7081	BAI HE LING ZHI	Rhinacanthus nasutus	HPLC	广西南宁	 GUANG XI NAN NING	1.umbelliferone
5328	BAI JIANG CAO	Herba Patriniae	HPLC	江西樟树(黄花败酱草）	 JIANG XI ZHANG SHU	PSF01
5328	BAI JIANG CAO	Herba Patriniae	HPLC	湖北恩施(黄花败酱草）	 HU BEI EN SHI	PSF02
5328	BAI JIANG CAO	Herba Patriniae	HPLC	河南信阳(黄花败酱草）	 HE NAN XIN YANG	PSF03
5328	BAI JIANG CAO	Herba Patriniae	HPLC	广西玉林(黄花败酱草）	 GUANG XI YU LIN	PSF04
5328	BAI JIANG CAO	Herba Patriniae	HPLC	江苏淮安(黄花败酱草）	 JIANG SU HUAI AN	PSF05
5328	BAI JIANG CAO	Herba Patriniae	HPLC	西藏林芝(黄花败酱草）	 XI CANG LIN ZHI	PSF06
5328	BAI JIANG CAO	Herba Patriniae	HPLC	四川成都(黄花败酱草）	 SI CHUAN CHENG DU	PSF07
5328	BAI JIANG CAO	Herba Patriniae	HPLC	甘肃庆阳(黄花败酱草）	 GAN SU QING YANG	PSF08
5328	BAI JIANG CAO	Herba Patriniae	HPLC	广西桂林(黄花败酱草）	 GUANG XI GUI LIN	PSF09
5328	BAI JIANG CAO	Herba Patriniae	HPLC	江西上饶(黄花败酱草）	 JIANG XI SHANG RAO	PSF10
5328	BAI JIANG CAO	Herba Patriniae	HPLC	安徽亳州(白花败酱草）	 AN HUI BO ZHOU	PVJ01: 3.isovitexin; 2.isoorientin
5328	BAI JIANG CAO	Herba Patriniae	HPLC	湖北襄樊(白花败酱草）	 HU BEI XIANG FAN	PVJ02: 3.isovitexin; 2.isoorientin
