ID	FormulaID	FormulaName	SyndromeID	SyndromeName	Label
1	25	一加减正气散	870	湿热证	?
2	25	一加减正气散	911	中焦湿热证	?
3	119	一贯煎	110	闭经病	?
4	119	一贯煎	123	绝经前后诸病	?
5	119	一贯煎	207	胃脘痛病	1
6	119	一贯煎	695	风邪证	?
7	119	一贯煎	837	寒热错杂证	?
8	119	一贯煎	870	湿热证	?
9	119	一贯煎	875	湿热内蕴证	?
10	119	一贯煎	892	湿热蕴结证	?
11	119	一贯煎	906	湿热中阻证	?
12	119	一贯煎	973	热毒证	?
13	119	一贯煎	1186	外邪犯胃证	?
14	119	一贯煎	1484	痰热证	?
15	119	一贯煎	1486	痰热腑实证	?
16	119	一贯煎	1535	痰瘀互结证	?
17	119	一贯煎	1540	痰结血瘀证	?
18	119	一贯煎	1548	气机郁滞证	?
19	119	一贯煎	1562	气郁证	1
20	119	一贯煎	1563	气滞证	1
21	119	一贯煎	1629	气滞血瘀证	?
22	119	一贯煎	1634	气虚血瘀证	?
23	119	一贯煎	1659	血瘀证	?
24	119	一贯煎	1716	瘀血阻络证	?
25	119	一贯煎	1769	伤阴证	?
26	119	一贯煎	1775	阴阳两虚证	0
27	119	一贯煎	1800	阴虚内热证	?
28	119	一贯煎	1810	阴虚火旺证	?
29	119	一贯煎	1900	肝郁证	?
30	119	一贯煎	1907	肝阳上亢证	?
31	119	一贯煎	1928	肝胆湿热证	?
32	119	一贯煎	1935	肝脾血瘀证	?
33	119	一贯煎	1938	肝胃不和证	?
34	119	一贯煎	1944	肝郁脾虚证	?
35	119	一贯煎	1953	肝肾不足证	?
36	119	一贯煎	1958	肝肾两虚证	?
37	119	一贯煎	1961	肝肾阴虚证	1
38	119	一贯煎	1979	肝郁化火证	?
39	119	一贯煎	1988	肝气郁结证	?
40	119	一贯煎	1989	肝气郁结、气滞血瘀证	1
41	119	一贯煎	1990	肝气郁滞证	?
42	119	一贯煎	1992	肝气犯胃证	?
43	119	一贯煎	1993	肝郁气滞证	?
44	119	一贯煎	2004	肝阴不足证	?
45	119	一贯煎	2019	脾虚证	?
46	119	一贯煎	2028	脾胃亏虚证	?
47	119	一贯煎	2032	脾胃虚弱证	?
48	119	一贯煎	2060	脾虚湿困证	?
49	119	一贯煎	2068	脾胃湿热证	?
50	119	一贯煎	2093	脾肾阳虚证	?
51	119	一贯煎	2121	胃阴亏虚证	?
52	119	一贯煎	2203	心肝阴虚证	?
53	119	一贯煎	2226	心肾不交证	?
54	292	丁桂散	810	寒凝证	?
55	292	丁桂散	1795	阴寒凝滞证	?
56	361	七味丸	725	风湿证	?
57	361	七味丸	1659	血瘀证	?
58	401	七宝美髯丹	802	风燥证	0
59	401	七宝美髯丹	1607	气血两虚证	?
60	401	七宝美髯丹	1629	气滞血瘀证	?
61	401	七宝美髯丹	1716	瘀血阻络证	?
62	401	七宝美髯丹	1726	血热证	?
63	401	七宝美髯丹	1953	肝肾不足证	1
64	401	七宝美髯丹	1955	肝肾亏虚证	?
65	401	七宝美髯丹	1993	肝郁气滞证	?
66	401	七宝美髯丹	2129	肾虚证	1
67	437	七厘散	1138	外伤证	?
68	437	七厘散	1665	瘀血证	1
69	474	七福饮	1347	髓海不足证	?
70	474	七福饮	1432	痰浊证	?
71	474	七福饮	1604	气血亏虚证	?
72	474	七福饮	1613	气血失调证	?
73	474	七福饮	1616	气血瘀滞证	?
74	474	七福饮	1955	肝肾亏虚证	?
75	474	七福饮	2026	脾失健运证	?
76	474	七福饮	2086	脾肾亏虚证	?
77	474	七福饮	2128	肾精亏虚证	?
78	474	七福饮	2217	心脾两虚证	0
79	474	七福饮	2236	心血不足证	?
80	520	九华膏	1138	外伤证	?
81	548	九味羌活汤	114	经行头痛病	?
82	548	九味羌活汤	724	风寒湿邪证	?
83	548	九味羌活汤	935	热证	?
84	656	二仙汤	123	绝经前后诸病	?
85	656	二仙汤	739	风热证	?
86	656	二仙汤	870	湿热证	?
87	656	二仙汤	875	湿热内蕴证	?
88	656	二仙汤	1432	痰浊证	?
89	656	二仙汤	1659	血瘀证	?
90	656	二仙汤	1726	血热证	?
91	656	二仙汤	1775	阴阳两虚证	?
92	656	二仙汤	1810	阴虚火旺证	?
93	656	二仙汤	1856	肺胃蕴热证	?
94	656	二仙汤	1863	肺热证	?
95	656	二仙汤	1900	肝郁证	?
96	656	二仙汤	1961	肝肾阴虚证	?
97	656	二仙汤	1966	肝郁痰凝证	?
98	656	二仙汤	2006	冲任失调证	?
99	656	二仙汤	2068	脾胃湿热证	0
100	656	二仙汤	2093	脾肾阳虚证	?
101	656	二仙汤	2125	肾精不足证	?
102	656	二仙汤	2128	肾精亏虚证	?
103	656	二仙汤	2129	肾虚证	?
104	656	二仙汤	2146	肾阳不足证	1
105	656	二仙汤	2148	肾阳亏虚证	?
106	656	二仙汤	2181	肾阴不足证	?
107	656	二仙汤	2226	心肾不交证	?
108	656	二仙汤	2230	心肾阴虚证	?
109	657	二仙饮	2128	肾精亏虚证	?
110	657	二仙饮	2129	肾虚证	?
111	665	二冬汤	1810	阴虚火旺证	?
112	673	二加减正气散	870	湿热证	?
113	673	二加减正气散	911	中焦湿热证	?
114	702	二母汤	802	风燥证	0
115	702	二母汤	1456	痰湿证	?
116	702	二母汤	1484	痰热证	?
117	702	二母汤	1887	肺阴亏虚证	?
118	724	二皮汤	825	寒湿证	?
119	724	二皮汤	1629	气滞血瘀证	?
120	724	二皮汤	1955	肝肾亏虚证	?
121	726	二石汤	912	下焦湿热证	?
122	742	二至丸	123	绝经前后诸病	?
123	742	二至丸	348	耳眩晕病	?
124	742	二至丸	739	风热证	?
125	742	二至丸	834	寒湿阻络证	?
126	742	二至丸	870	湿热证	?
127	742	二至丸	875	湿热内蕴证	?
128	742	二至丸	935	热证	?
129	742	二至丸	1354	虚实夹杂证	?
130	742	二至丸	1374	血分证	?
131	742	二至丸	1535	痰瘀互结证	0
132	742	二至丸	1556	气虚证	1
133	742	二至丸	1629	气滞血瘀证	?
134	742	二至丸	1634	气虚血瘀证	?
135	742	二至丸	1639	气阴两虚证	?
136	742	二至丸	1659	血瘀证	?
137	742	二至丸	1707	血虚风燥证	?
